Sex,CountryCode,Population,Age
b,AUS2,25530852.02,DTotal
b,AUT,8901056.03,DTotal
b,BEL,11451884.92,DTotal
b,BGR,7050034.04,DTotal
b,CAN,37758109.88,DTotal
b,CHE,8670299.97,DTotal
b,CHL,17892978.78,DTotal
b,CZE,10693939.04,DTotal
b,DEUTNP,82792350.84,DTotal
b,DNK,5873420,DTotal
b,ESP,47398697,DTotal
b,EST,1328976.07,DTotal
b,FIN,5533793,DTotal
b,FRATNP,65123843.09,DTotal
b,GBR_NIR,1887654.05,DTotal
b,GBR_SCO,5450699.93,DTotal
b,GBRTENW,59277824.5,DTotal
b,GRC,10718565.11,DTotal
b,HRV,4036354.82,DTotal
b,HUN,9730772.04,DTotal
b,ISL,356991,DTotal
b,ISR,8628497.02,DTotal
b,ITA,59641488.11,DTotal
b,KOR,51325445.14,DTotal
b,LTU,2795679.95,DTotal
b,LUX,634730.01,DTotal
b,LVA,1907675.04,DTotal
b,NLD,17407585.12,DTotal
b,NOR,5391369,DTotal
b,NZL_NP,4476273.58,DTotal
b,POL,38382576.01,DTotal
b,PRT,10298252.04,DTotal
b,RUS,143972400.04,DTotal
b,SVK,5457872.99,DTotal
b,SVN,2095861,DTotal
b,SWE,10379295,DTotal
b,TWN,23603121,DTotal
b,USA,328068315.83,DTotal
f,AUS2,12874063.43,DTotal
f,AUT,4522289.99,DTotal
f,BEL,5804061.93,DTotal
f,BGR,3627625,DTotal
f,CAN,18997203.57,DTotal
f,CHE,4367700.99,DTotal
f,CHL,9125812.47,DTotal
f,CZE,5421943,DTotal
f,DEUTNP,41948785.87,DTotal
f,DNK,2950505,DTotal
f,ESP,24171413.91,DTotal
f,EST,699699.07,DTotal
f,FIN,2799985,DTotal
f,FRATNP,33623007.06,DTotal
f,GBR_NIR,958195.46,DTotal
f,GBR_SCO,2794822.92,DTotal
f,GBRTENW,29978944.46,DTotal
f,GRC,5503077.08,DTotal
f,HRV,2071424.92,DTotal
f,HUN,5066978,DTotal
f,ISL,174154,DTotal
f,ISR,4349310.06,DTotal
f,ITA,30591392.03,DTotal
f,KOR,25716596.11,DTotal
f,LTU,1482082.03,DTotal
f,LUX,315274.03,DTotal
f,LVA,1026719.01,DTotal
f,NLD,8759554.04,DTotal
f,NOR,2672110,DTotal
f,NZL_NP,2285254.84,DTotal
f,POL,19815524.04,DTotal
f,PRT,5439503.09,DTotal
f,RUS,77256453,DTotal
f,SVK,2792523.06,DTotal
f,SVN,1044795.05,DTotal
f,SWE,5156448,DTotal
f,TWN,11897935.02,DTotal
f,USA,166493745.47,DTotal
m,AUS2,12656788.59,DTotal
m,AUT,4378766.04,DTotal
m,BEL,5647822.99,DTotal
m,BGR,3422409.04,DTotal
m,CAN,18760906.31,DTotal
m,CHE,4302598.98,DTotal
m,CHL,8767166.31,DTotal
m,CZE,5271996.04,DTotal
m,DEUTNP,40843564.97,DTotal
m,DNK,2922915,DTotal
m,ESP,23227283.09,DTotal
m,EST,629277,DTotal
m,FIN,2733808,DTotal
m,FRATNP,31500836.03,DTotal
m,GBR_NIR,929458.59,DTotal
m,GBR_SCO,2655877.01,DTotal
m,GBRTENW,29298880.04,DTotal
m,GRC,5215488.03,DTotal
m,HRV,1964929.9,DTotal
m,HUN,4663794.04,DTotal
m,ISL,182837,DTotal
m,ISR,4279186.96,DTotal
m,ITA,29050096.08,DTotal
m,KOR,25608849.03,DTotal
m,LTU,1313597.92,DTotal
m,LUX,319455.98,DTotal
m,LVA,880956.03,DTotal
m,NLD,8648031.08,DTotal
m,NOR,2719259,DTotal
m,NZL_NP,2191018.74,DTotal
m,POL,18567051.97,DTotal
m,PRT,4858748.95,DTotal
m,RUS,66715947.04,DTotal
