Jurisdiction,party,Year
Alabama,republican,Year one
Alaska,republican,Year one
Arizona,republican,Year one
California,democrat,Year one
Arkansas,republican,Year one
Colorado,democrat,Year one
Connecticut,democrat,Year one
Delaware,democrat,Year one
Florida,republican,Year one
Georgia,republican,Year one
Hawaii,democrat,Year one
Idaho,republican,Year one
Illinois,democrat,Year one
Indiana,republican,Year one
Iowa,republican,Year one
Kansas,democrat,Year one
Kentucky,republican,Year one
Louisiana,democrat,Year one
Maine,republican,Year one
Maryland,republican,Year one
Massachusetts,republican,Year one
Michigan,democrat,Year one
Minnesota,democrat,Year one
Mississippi,republican,Year one
Missouri,republican,Year one
Montana,democrat,Year one
Nebraska,republican,Year one
Nevada,democrat,Year one
New Hampshire,republican,Year one
New Jersey,democrat,Year one
New Mexico,democrat,Year one
New York,democrat,Year one
North Carolina,democrat,Year one
North Dakota,republican,Year one
Ohio,republican,Year one
Oklahoma,republican,Year one
Oregon,democrat,Year one
Pennsylvania,democrat,Year one
Rhode Island,democrat,Year one
South Carolina,republican,Year one
South Dakota,republican,Year one
Tennessee,republican,Year one
Texas,republican,Year one
Utah,republican,Year one
Vermont,republican,Year one
Virginia,democrat,Year one
Washington,democrat,Year one
West Virginia,republican,Year one
Wisconsin,democrat,Year one
Wyoming,republican,Year one
Alabama,republican,Year two
Alaska,republican,Year two
Arkansas,republican,Year two
California,democrat,Year two
Connecticut,democrat,Year two
Delaware,democrat,Year two
Florida,republican,Year two
Georgia,republican,Year two
Hawaii,democrat,Year two
Idaho,republican,Year two
Illinois,democrat,Year two
Indiana,republican,Year two
Iowa,republican,Year two
Kansas,democrat,Year two
Kentucky,democrat,Year two
Louisiana,democrat,Year two
Maine,democrat,Year two
Maryland,republican,Year two
Massachusetts,republican,Year two
Michigan,democrat,Year two
Minnesota,democrat,Year two
Mississippi,republican,Year two
Missouri,republican,Year two
Montana,republican,Year two
Nebraska,republican,Year two
Nevada,democrat,Year two
New Hampshire,republican,Year two
New Mexico,democrat,Year two
New York,democrat,Year two
New Jersey,democrat,Year two
North Carolina,democrat,Year two
North Dakota,republican,Year two
Ohio,republican,Year two
Oklahoma,republican,Year two
Oregon,democrat,Year two
Pennsylvania,democrat,Year two
Rhode Island,democrat,Year two
South Carolina,republican,Year two
South Dakota,republican,Year two
Tennessee,republican,Year two
Texas,republican,Year two
Utah,republican,Year two
Vermont,republican,Year two
Virginia,democrat,Year two
Washington,democrat,Year two
West Virginia,republican,Year two
Wisconsin,democrat,Year two
Wyoming,republican,Year two
Arizona,republican,Year two
Colorado,democrat,Year two
