Week Ending Date,State,Average Expected Count,Observed Number
2017-01-07,Alabama,1034,1121
2017-01-07,Alaska,79,104
2017-01-07,Arizona,1118,1170
2017-01-07,Arkansas,635,651
2017-01-07,California,5197,6061
2017-01-07,Colorado,756,793
2017-01-07,Connecticut,624,656
2017-01-07,Delaware,175,197
2017-01-07,District of Columbia,108,133
2017-01-07,Florida,3987,4153
2017-01-07,Georgia,1705,1816
2017-01-07,Hawaii,228,217
2017-01-07,Idaho,263,291
2017-01-07,Illinois,2091,2178
2017-01-07,Indiana,1284,1457
2017-01-07,Iowa,606,655
2017-01-07,Kansas,524,576
2017-01-07,Kentucky,919,1050
2017-01-07,Louisiana,974,908
2017-01-07,Maine,274,260
2017-01-07,Maryland,971,1030
2017-01-07,Massachusetts,1163,1247
2017-01-07,Michigan,1890,2102
2017-01-07,Minnesota,848,885
2017-01-07,Mississippi,639,663
2017-01-07,Missouri,1236,1452
2017-01-07,Montana,196,209
2017-01-07,Nebraska,331,396
2017-01-07,Nevada,475,608
2017-01-07,New Hampshire,238,236
2017-01-07,New Jersey,1447,1524
2017-01-07,New Mexico,355,376
2017-01-07,New York,3074,3355
2017-01-07,North Carolina,1862,2002
2017-01-07,North Dakota,139,117
2017-01-07,Ohio,2321,2671
2017-01-07,Oklahoma,791,795
2017-01-07,Oregon,724,903
2017-01-07,Pennsylvania,2648,2979
2017-01-07,Puerto Rico,572,696
2017-01-07,Rhode Island,208,227
2017-01-07,South Carolina,964,966
2017-01-07,South Dakota,152,170
2017-01-07,Tennessee,1449,1580
2017-01-07,Texas,4106,4027
2017-01-07,United States,55096,59901
2017-01-07,Utah,371,432
2017-01-07,Vermont,115,137
2017-01-07,Virginia,1320,1405
2017-01-07,Washington,1074,1316
2017-01-07,West Virginia,434,474
2017-01-07,Wisconsin,1037,1084
2017-01-07,Wyoming,90,86
2017-01-14,Alabama,1046,1130
2017-01-14,Alaska,81,87
2017-01-14,Arizona,1132,1205
2017-01-14,Arkansas,636,658
2017-01-14,California,5233,6267
2017-01-14,Colorado,763,840
2017-01-14,Connecticut,624,662
2017-01-14,Delaware,175,212
2017-01-14,District of Columbia,109,127
2017-01-14,Florida,3683,4337
2017-01-14,Georgia,1712,1751
2017-01-14,Hawaii,233,263
2017-01-14,Idaho,264,312
2017-01-14,Illinois,2100,2329
2017-01-14,Indiana,1294,1428
2017-01-14,Iowa,607,716
2017-01-14,Kansas,530,575
2017-01-14,Kentucky,928,1077
2017-01-14,Louisiana,977,939
2017-01-14,Maine,279,280
2017-01-14,Maryland,985,1078
2017-01-14,Massachusetts,1180,1310
2017-01-14,Michigan,1907,2045
2017-01-14,Minnesota,852,916
2017-01-14,Mississippi,643,659
2017-01-14,Missouri,1242,1360
2017-01-14,Montana,198,214
2017-01-14,Nebraska,333,439
2017-01-14,Nevada,481,561
2017-01-14,New Hampshire,241,274
2017-01-14,New Jersey,1458,1698
2017-01-14,New Mexico,361,381
2017-01-14,New York,3080,3307
2017-01-14,North Carolina,1876,1988
2017-01-14,North Dakota,139,142
2017-01-14,Ohio,2333,2688
2017-01-14,Oklahoma,795,837
2017-01-14,Oregon,724,872
2017-01-14,Pennsylvania,2666,2929
2017-01-14,Puerto Rico,570,613
2017-01-14,Rhode Island,208,209
2017-01-14,South Carolina,969,992
2017-01-14,South Dakota,152,180
2017-01-14,Tennessee,1460,1579
2017-01-14,Texas,4142,4289
2017-01-14,United States,55471,61118
2017-01-14,Utah,373,375
2017-01-14,Vermont,114,122
2017-01-14,Virginia,1325,1411
2017-01-14,Washington,1078,1378
2017-01-14,West Virginia,434,513
2017-01-14,Wisconsin,1047,1092
2017-01-14,Wyoming,89,85
2017-01-21,Alabama,1050,1048
2017-01-21,Alaska,80,93
2017-01-21,Arizona,1151,1122
2017-01-21,Arkansas,638,657
2017-01-21,California,5282,5978
2017-01-21,Colorado,767,792
2017-01-21,Connecticut,629,694
2017-01-21,Delaware,177,207
2017-01-21,District of Columbia,108,125
2017-01-21,Florida,3705,4237
2017-01-21,Georgia,1716,1733
2017-01-21,Hawaii,234,265
2017-01-21,Idaho,264,311
2017-01-21,Illinois,2111,2298
2017-01-21,Indiana,1305,1410
2017-01-21,Iowa,609,673
2017-01-21,Kansas,531,549
2017-01-21,Kentucky,932,1015
2017-01-21,Louisiana,979,897
2017-01-21,Maine,277,304
2017-01-21,Maryland,994,1089
2017-01-21,Massachusetts,1188,1282
2017-01-21,Michigan,1921,2013
2017-01-21,Minnesota,852,867
2017-01-21,Mississippi,640,587
2017-01-21,Missouri,1264,1449
2017-01-21,Montana,199,222
2017-01-21,Nebraska,334,386
2017-01-21,Nevada,485,534
2017-01-21,New Hampshire,241,244
2017-01-21,New Jersey,1466,1606
2017-01-21,New Mexico,365,364
2017-01-21,New York,3090,3191
2017-01-21,North Carolina,1883,1870
2017-01-21,North Dakota,140,146
2017-01-21,Ohio,2351,2649
2017-01-21,Oklahoma,800,831
2017-01-21,Oregon,727,870
2017-01-21,Pennsylvania,2682,2972
2017-01-21,Puerto Rico,576,666
2017-01-21,Rhode Island,210,183
2017-01-21,South Carolina,975,975
2017-01-21,South Dakota,155,158
2017-01-21,Tennessee,1466,1516
2017-01-21,Texas,4189,4066
2017-01-21,United States,55804,59445
2017-01-21,Utah,375,358
2017-01-21,Vermont,116,98
2017-01-21,Virginia,1339,1446
2017-01-21,Washington,1084,1402
2017-01-21,West Virginia,437,483
2017-01-21,Wisconsin,1044,1096
2017-01-21,Wyoming,90,84
2017-01-28,Alabama,1048,1026
2017-01-28,Alaska,81,80
2017-01-28,Arizona,1157,1191
2017-01-28,Arkansas,639,579
2017-01-28,California,5311,5747
2017-01-28,Colorado,770,742
2017-01-28,Connecticut,631,654
2017-01-28,Delaware,177,194
2017-01-28,District of Columbia,110,119
2017-01-28,Florida,3719,4039
2017-01-28,Georgia,1717,1620
2017-01-28,Hawaii,236,219
2017-01-28,Idaho,266,269
2017-01-28,Illinois,2116,2195
2017-01-28,Indiana,1309,1376
2017-01-28,Iowa,611,650
2017-01-28,Kansas,534,563
2017-01-28,Kentucky,932,914
2017-01-28,Louisiana,978,875
2017-01-28,Maine,276,302
2017-01-28,Maryland,997,992
2017-01-28,Massachusetts,1197,1239
2017-01-28,Michigan,1946,2005
2017-01-28,Minnesota,853,909
2017-01-28,Mississippi,641,600
2017-01-28,Missouri,1270,1416
2017-01-28,Montana,201,213
2017-01-28,Nebraska,338,360
2017-01-28,Nevada,489,559
2017-01-28,New Hampshire,242,241
2017-01-28,New Jersey,1467,1576
2017-01-28,New Mexico,368,374
2017-01-28,New York,3084,3372
2017-01-28,North Carolina,1881,1906
2017-01-28,North Dakota,139,153
2017-01-28,Ohio,2362,2615
2017-01-28,Oklahoma,805,822
2017-01-28,Oregon,731,772
2017-01-28,Pennsylvania,2696,2986
2017-01-28,Puerto Rico,586,642
2017-01-28,Rhode Island,210,226
2017-01-28,South Carolina,978,969
2017-01-28,South Dakota,156,175
2017-01-28,Tennessee,1464,1403
2017-01-28,Texas,4198,4070
2017-01-28,United States,56010,58178
2017-01-28,Utah,378,383
2017-01-28,Vermont,116,130
2017-01-28,Virginia,1338,1361
2017-01-28,Washington,1095,1339
2017-01-28,West Virginia,438,458
2017-01-28,Wisconsin,1046,1111
2017-01-28,Wyoming,90,89
2017-02-04,Alabama,1049,1036
2017-02-04,Alaska,82,87
2017-02-04,Arizona,1157,1235
2017-02-04,Arkansas,645,614
2017-02-04,California,5305,5970
2017-02-04,Colorado,771,782
2017-02-04,Connecticut,629,665
2017-02-04,Delaware,175,191
2017-02-04,District of Columbia,111,128
2017-02-04,Florida,3725,4333
2017-02-04,Georgia,1717,1693
2017-02-04,Hawaii,240,222
2017-02-04,Idaho,268,283
2017-02-04,Illinois,2119,2238
2017-02-04,Indiana,1316,1314
2017-02-04,Iowa,614,672
2017-02-04,Kansas,535,555
2017-02-04,Kentucky,942,988
2017-02-04,Louisiana,977,935
2017-02-04,Maine,283,264
2017-02-04,Maryland,1001,1021
2017-02-04,Massachusetts,1199,1294
2017-02-04,Michigan,1953,1920
2017-02-04,Minnesota,856,893
2017-02-04,Mississippi,636,648
2017-02-04,Missouri,1276,1340
2017-02-04,Montana,200,221
2017-02-04,Nebraska,340,357
2017-02-04,Nevada,494,524
2017-02-04,New Hampshire,242,250
2017-02-04,New Jersey,1470,1632
2017-02-04,New Mexico,370,352
2017-02-04,New York,3094,3176
2017-02-04,North Carolina,1881,1827
2017-02-04,North Dakota,139,121
2017-02-04,Ohio,2372,2534
2017-02-04,Oklahoma,808,845
2017-02-04,Oregon,730,816
2017-02-04,Pennsylvania,2707,2836
2017-02-04,Puerto Rico,591,601
2017-02-04,Rhode Island,213,216
2017-02-04,South Carolina,980,970
2017-02-04,South Dakota,157,181
2017-02-04,Tennessee,1473,1506
2017-02-04,Texas,4192,4089
2017-02-04,United States,56185,58541
2017-02-04,Utah,377,355
2017-02-04,Vermont,116,122
2017-02-04,Virginia,1340,1370
2017-02-04,Washington,1102,1250
2017-02-04,West Virginia,441,478
2017-02-04,Wisconsin,1049,1098
2017-02-04,Wyoming,88,94
2017-02-11,Alabama,1046,1058
2017-02-11,Alaska,82,63
2017-02-11,Arizona,1162,1216
2017-02-11,Arkansas,644,626
2017-02-11,California,5303,5710
2017-02-11,Colorado,770,821
2017-02-11,Connecticut,627,733
2017-02-11,Delaware,175,195
2017-02-11,District of Columbia,112,123
2017-02-11,Florida,3734,4154
2017-02-11,Georgia,1710,1701
2017-02-11,Hawaii,241,215
2017-02-11,Idaho,265,280
2017-02-11,Illinois,2117,2262
2017-02-11,Indiana,1314,1387
2017-02-11,Iowa,608,634
2017-02-11,Kansas,535,573
2017-02-11,Kentucky,944,1001
2017-02-11,Louisiana,970,917
2017-02-11,Maine,281,292
2017-02-11,Maryland,998,1036
2017-02-11,Massachusetts,1201,1262
2017-02-11,Michigan,1969,2067
2017-02-11,Minnesota,859,892
2017-02-11,Mississippi,636,641
2017-02-11,Missouri,1289,1327
2017-02-11,Montana,200,223
2017-02-11,Nebraska,340,422
2017-02-11,Nevada,497,522
2017-02-11,New Hampshire,240,259
2017-02-11,New Jersey,1466,1562
2017-02-11,New Mexico,373,435
2017-02-11,New York,3087,3286
2017-02-11,North Carolina,1879,1938
2017-02-11,North Dakota,142,142
2017-02-11,Ohio,2372,2652
2017-02-11,Oklahoma,809,867
2017-02-11,Oregon,725,787
2017-02-11,Pennsylvania,2708,2872
2017-02-11,Puerto Rico,592,601
2017-02-11,Rhode Island,212,257
2017-02-11,South Carolina,980,966
2017-02-11,South Dakota,158,196
2017-02-11,Tennessee,1468,1530
2017-02-11,Texas,4156,4188
2017-02-11,United States,56198,59164
2017-02-11,Utah,379,376
2017-02-11,Vermont,115,120
2017-02-11,Virginia,1332,1478
2017-02-11,Washington,1102,1226
2017-02-11,West Virginia,441,460
2017-02-11,Wisconsin,1047,1126
2017-02-11,Wyoming,88,88
2017-02-18,Alabama,1048,1060
2017-02-18,Alaska,82,80
2017-02-18,Arizona,1166,1138
2017-02-18,Arkansas,642,648
2017-02-18,California,5292,5621
2017-02-18,Colorado,775,798
2017-02-18,Connecticut,624,677
2017-02-18,Delaware,175,181
2017-02-18,District of Columbia,111,147
2017-02-18,Florida,4135,4295
2017-02-18,Georgia,1713,1662
2017-02-18,Hawaii,243,231
2017-02-18,Idaho,264,284
2017-02-18,Illinois,2112,2278
2017-02-18,Indiana,1304,1383
2017-02-18,Iowa,609,658
2017-02-18,Kansas,533,573
2017-02-18,Kentucky,945,969
2017-02-18,Louisiana,966,873
2017-02-18,Maine,282,279
2017-02-18,Maryland,998,1082
2017-02-18,Massachusetts,1196,1378
2017-02-18,Michigan,1970,1936
2017-02-18,Minnesota,857,963
2017-02-18,Mississippi,633,644
2017-02-18,Missouri,1289,1428
2017-02-18,Montana,200,220
2017-02-18,Nebraska,340,353
2017-02-18,Nevada,498,509
2017-02-18,New Hampshire,240,262
2017-02-18,New Jersey,1464,1582
2017-02-18,New Mexico,372,376
2017-02-18,New York,3078,3156
