Jurisdiction,Age Group,Population
Alabama,<65,4033195
Alabama,65-74,517717
Alabama,75-84,263668
Alabama,85+,92859
Alaska,<65,615848
Alaska,65-74,64158
Alaska,75-84,24379
Alaska,85+,7339
Arizona,<65,6027799
Arizona,65-74,786905
Arizona,75-84,434972
Arizona,85+,152098
Arkansas,<65,2488958
Arkansas,65-74,310489
Arkansas,75-84,164712
Arkansas,85+,61105
California,<65,33235843
California,65-74,3469545
California,75-84,1750249
California,85+,756372
Colorado,<65,4895399
Colorado,65-74,543363
Colorado,75-84,241734
Colorado,85+,91290
Connecticut,<65,2904100
Connecticut,65-74,363764
Connecticut,75-84,191658
Connecticut,85+,90574
Delaware,<65,785795
Delaware,65-74,118462
Delaware,75-84,58528
Delaware,85+,20604
District of Columbia,<65,619278
District of Columbia,65-74,51557
District of Columbia,75-84,25986
District of Columbia,85+,12290
Florida,<65,17028294
Florida,65-74,2539576
Florida,75-84,1502209
Florida,85+,596309
Georgia,<65,9072495
Georgia,65-74,959264
Georgia,75-84,459814
Georgia,85+,155589
Hawaii,<65,1086643
Hawaii,65-74,154706
Hawaii,75-84,78228
Hawaii,85+,42146
Idaho,<65,1517381
Idaho,65-74,185942
Idaho,75-84,89638
Idaho,85+,30414
Illinois,<65,10470797
Illinois,65-74,1211741
Illinois,75-84,610637
Illinois,85+,266856
Indiana,<65,5636828
Indiana,65-74,658882
Indiana,75-84,325212
Indiana,85+,131191
Iowa,<65,2595623
Iowa,65-74,323349
Iowa,75-84,164692
Iowa,85+,78095
Kansas,<65,2402753
Kansas,65-74,282458
Kansas,75-84,140371
Kansas,85+,65487
Kentucky,<65,3689391
Kentucky,65-74,462362
Kentucky,75-84,226031
Kentucky,85+,82442
Louisiana,<65,3865642
Louisiana,65-74,458282
Louisiana,75-84,222201
Louisiana,85+,83267
Maine,<65,1054997
Maine,65-74,175368
Maine,75-84,84783
Maine,85+,33625
Maryland,<65,5032894
Maryland,65-74,578509
Maryland,75-84,288312
Maryland,85+,120531
Massachusetts,<65,5690239
Massachusetts,65-74,693841
Massachusetts,75-84,346191
Massachusetts,85+,158370
Michigan,<65,8150405
Michigan,65-74,1074762
Michigan,75-84,525966
Michigan,85+,211713
Minnesota,<65,4706365
Minnesota,65-74,552208
Minnesota,75-84,273886
Minnesota,85+,122747
Mississippi,<65,2452126
Mississippi,65-74,298209
Mississippi,75-84,148431
Mississippi,85+,53315
Missouri,<65,5042920
Missouri,65-74,630388
Missouri,75-84,325373
Missouri,85+,133953
Montana,<65,863623
Montana,65-74,129574
Montana,75-84,60746
Montana,85+,23072
Nebraska,<65,1611509
Nebraska,65-74,185015
Nebraska,75-84,91792
Nebraska,85+,42630
Nevada,<65,2608115
Nevada,65-74,316112
Nevada,75-84,156290
Nevada,85+,46914
New Hampshire,<65,1101838
New Hampshire,65-74,158927
New Hampshire,75-84,73622
New Hampshire,85+,30580
New Jersey,<65,7363019
New Jersey,65-74,859409
New Jersey,75-84,449250
New Jersey,85+,201369
New Mexico,<65,1704755
New Mexico,65-74,231746
New Mexico,75-84,115866
New Mexico,85+,42299
New York,<65,15942267
New York,65-74,1912722
New York,75-84,996328
New York,85+,460519
North Carolina,<65,8688796
North Carolina,65-74,1084482
North Carolina,75-84,535819
North Carolina,85+,194241
North Dakota,<65,634991
North Dakota,65-74,69658
North Dakota,75-84,34850
North Dakota,85+,18633
Ohio,<65,9586819
Ohio,65-74,1233236
Ohio,75-84,608792
Ohio,85+,255610
Oklahoma,<65,3307881
Oklahoma,65-74,380547
Oklahoma,75-84,197625
Oklahoma,85+,74987
Oregon,<65,3449401
Oregon,65-74,478552
Oregon,75-84,226478
Oregon,85+,84497
Pennsylvania,<65,10329189
Pennsylvania,65-74,1401258
Pennsylvania,75-84,717789
Pennsylvania,85+,328640
Rhode Island,<65,860217
Rhode Island,65-74,110332
Rhode Island,75-84,55188
Rhode Island,85+,26957
South Carolina,<65,4199940
South Carolina,65-74,593048
South Carolina,75-84,289033
South Carolina,85+,94294
South Dakota,<65,732078
South Dakota,65-74,94041
South Dakota,75-84,42280
South Dakota,85+,20856
Tennessee,<65,5685940
Tennessee,65-74,704870
Tennessee,75-84,351752
Tennessee,85+,123921
Texas,<65,25372740
Texas,65-74,2339912
Texas,75-84,1119841
Texas,85+,413930
United States,<65,272637837
United States,65-74,32549398
United States,75-84,16451547
United States,85+,6658420
Utah,<65,2863450
Utah,65-74,230052
Utah,75-84,112018
Utah,85+,39523
Vermont,<65,494181
Vermont,65-74,77613
Vermont,75-84,36624
Vermont,85+,14357
Virginia,<65,7074273
Virginia,65-74,827566
Virginia,75-84,416842
Virginia,85+,156636
Washington,<65,6393568
Washington,65-74,758505
Washington,75-84,353988
Washington,85+,135381
West Virginia,<65,1410248
West Virginia,65-74,222176
West Virginia,75-84,111083
West Virginia,85+,40310
Wisconsin,<65,4781538
Wisconsin,65-74,620424
Wisconsin,75-84,300842
Wisconsin,85+,126669
Wyoming,<65,475453
Wyoming,65-74,63814
Wyoming,75-84,28948
Wyoming,85+,11014
